label,value,time
ces-main,3086024089.60,2025-09-15T07:19:30+00:00
ces-main,3103462400.00,2025-09-15T07:20:00+00:00
ces-main,3119368601.60,2025-09-15T07:20:30+00:00
ces-main,3120387891.20,2025-09-15T07:21:00+00:00
ces-main,3119193088.00,2025-09-15T07:21:30+00:00
ces-main,3120134348.80,2025-09-15T07:22:00+00:00
ces-main,3118508032.00,2025-09-15T07:22:30+00:00
ces-main,3116875366.40,2025-09-15T07:23:00+00:00
ces-main,3116853248.00,2025-09-15T07:23:30+00:00
ces-main,3115026636.80,2025-09-15T07:24:00+00:00
ces-main,3110452428.80,2025-09-15T07:24:30+00:00
ces-main,3106439987.20,2025-09-15T07:25:00+00:00
ces-main,3101161881.60,2025-09-15T07:25:30+00:00
ces-main,3095635968.00,2025-09-15T07:26:00+00:00
ces-main,3093861171.20,2025-09-15T07:26:30+00:00
ces-main,3091115622.40,2025-09-15T07:27:00+00:00
ces-main,3089786470.40,2025-09-15T07:27:30+00:00
ces-main,3087712665.60,2025-09-15T07:28:00+00:00
ces-main,3084456140.80,2025-09-15T07:28:30+00:00
ces-main,3085743718.40,2025-09-15T07:29:00+00:00
ces-main,3088600883.20,2025-09-15T07:29:30+00:00
ces-main,3090272256.00,2025-09-15T07:30:00+00:00
ces-main,3092592640.00,2025-09-15T07:30:30+00:00
ces-main,3095715430.40,2025-09-15T07:31:00+00:00
ces-main,3094946201.60,2025-09-15T07:31:30+00:00
ces-main,3090075648.00,2025-09-15T07:32:00+00:00
ces-main,3084928409.60,2025-09-15T07:32:30+00:00
ces-main,3081501696.00,2025-09-15T07:33:00+00:00
ces-main,3078429286.40,2025-09-15T07:33:30+00:00
ces-main,3069991116.80,2025-09-15T07:34:00+00:00
ces-main,3065854361.60,2025-09-15T07:34:30+00:00
ces-main,3062249881.60,2025-09-15T07:35:00+00:00
ces-main,3057018880.00,2025-09-15T07:35:30+00:00
ces-main,3052089139.20,2025-09-15T07:36:00+00:00
ces-main,3053137100.80,2025-09-15T07:36:30+00:00
ces-main,3052703129.60,2025-09-15T07:37:00+00:00
ces-main,3051706163.20,2025-09-15T07:37:30+00:00
ces-main,3049391104.00,2025-09-15T07:38:00+00:00
ces-main,3048521318.40,2025-09-15T07:38:30+00:00
ces-main,3050376601.60,2025-09-15T07:39:00+00:00
ces-main,3048958566.40,2025-09-15T07:39:30+00:00
ces-main,3048642355.20,2025-09-15T07:40:00+00:00
ces-main,3049892044.80,2025-09-15T07:40:30+00:00
ces-main,3051819827.20,2025-09-15T07:41:00+00:00
ces-main,3050356736.00,2025-09-15T07:41:30+00:00
ces-main,3053983948.80,2025-09-15T07:42:00+00:00
ces-main,3058034073.60,2025-09-15T07:42:30+00:00
ces-main,3061968691.20,2025-09-15T07:43:00+00:00
ces-main,3065959833.60,2025-09-15T07:43:30+00:00
ces-main,3068692480.00,2025-09-15T07:44:00+00:00
ces-main,3072207872.00,2025-09-15T07:44:30+00:00
ces-main,3075561881.60,2025-09-15T07:45:00+00:00
ces-main,3078363545.60,2025-09-15T07:45:30+00:00
ces-main,3080504320.00,2025-09-15T07:46:00+00:00
ces-main,3081907609.60,2025-09-15T07:46:30+00:00
ces-main,3078588620.80,2025-09-15T07:47:00+00:00
ces-main,3074691276.80,2025-09-15T07:47:30+00:00
ces-main,3072092774.40,2025-09-15T07:48:00+00:00
ces-main,3067023769.60,2025-09-15T07:48:30+00:00
ces-main,3064331059.20,2025-09-15T07:49:00+00:00
ces-main,3060396646.40,2025-09-15T07:49:30+00:00
ces-main,3058140160.00,2025-09-15T07:50:00+00:00
ces-main,3056256409.60,2025-09-15T07:50:30+00:00
ces-main,3053828915.20,2025-09-15T07:51:00+00:00
ces-main,3054286848.00,2025-09-15T07:51:30+00:00
ces-main,3062240256.00,2025-09-15T07:52:00+00:00
ces-main,3070782668.80,2025-09-15T07:52:30+00:00
ces-main,3078244147.20,2025-09-15T07:53:00+00:00
ces-main,3086543667.20,2025-09-15T07:53:30+00:00
ces-main,3093463244.80,2025-09-15T07:54:00+00:00
ces-main,3099534131.20,2025-09-15T07:54:30+00:00
ces-main,3100651110.40,2025-09-15T07:55:00+00:00
ces-main,3102364057.60,2025-09-15T07:55:30+00:00
ces-main,3104141312.00,2025-09-15T07:56:00+00:00
ces-main,3103160115.20,2025-09-15T07:56:30+00:00
ces-main,3100735488.00,2025-09-15T07:57:00+00:00
ces-main,3098782310.40,2025-09-15T07:57:30+00:00
ces-main,3096039014.40,2025-09-15T07:58:00+00:00
ces-main,3094917734.40,2025-09-15T07:58:30+00:00
ces-main,3093221171.20,2025-09-15T07:59:00+00:00
ces-main,3090728345.60,2025-09-15T07:59:30+00:00
ces-main,3090430361.60,2025-09-15T08:00:00+00:00
ces-main,3090060902.40,2025-09-15T08:00:30+00:00
ces-main,3087482470.40,2025-09-15T08:01:00+00:00
ces-main,3088283852.80,2025-09-15T08:01:30+00:00
ces-main,3085862502.40,2025-09-15T08:02:00+00:00
ces-main,3084736102.40,2025-09-15T08:02:30+00:00
ces-main,3083760640.00,2025-09-15T08:03:00+00:00
ces-main,3081610854.40,2025-09-15T08:03:30+00:00
ces-main,3078614425.60,2025-09-15T08:04:00+00:00
ces-main,3079749836.80,2025-09-15T08:04:30+00:00
ces-main,3081927680.00,2025-09-15T08:05:00+00:00
ces-main,3084180684.80,2025-09-15T08:05:30+00:00
ces-main,3090176000.00,2025-09-15T08:06:00+00:00
ces-main,3092108083.20,2025-09-15T08:06:30+00:00
ces-main,3091202457.60,2025-09-15T08:07:00+00:00
ces-main,3090585804.80,2025-09-15T08:07:30+00:00
ces-main,3090621235.20,2025-09-15T08:08:00+00:00
ces-main,3090938060.80,2025-09-15T08:08:30+00:00
ces-main,3091792691.20,2025-09-15T08:09:00+00:00
ces-main,3089759027.20,2025-09-15T08:09:30+00:00
ces-main,3087475302.40,2025-09-15T08:10:00+00:00
ces-main,3085552844.80,2025-09-15T08:10:30+00:00
ces-main,3082272768.00,2025-09-15T08:11:00+00:00
ces-main,3078936780.80,2025-09-15T08:11:30+00:00
ces-main,3075967590.40,2025-09-15T08:12:00+00:00
ces-main,3070781440.00,2025-09-15T08:12:30+00:00
ces-main,3065803776.00,2025-09-15T08:13:00+00:00
ces-main,3061587558.40,2025-09-15T08:13:30+00:00
ces-main,3057761689.60,2025-09-15T08:14:00+00:00
ces-main,3054206976.00,2025-09-15T08:14:30+00:00
ces-main,3050998579.20,2025-09-15T08:15:00+00:00
ces-main,3049059942.40,2025-09-15T08:15:30+00:00
ces-main,3048079360.00,2025-09-15T08:16:00+00:00
ces-main,3051557068.80,2025-09-15T08:16:30+00:00
