label,value,time
ces-main,169737.70,2025-09-15T07:23:30+00:00
ces-main,162284.88,2025-09-15T07:24:00+00:00
ces-main,172428.68,2025-09-15T07:24:30+00:00
ces-main,166560.74,2025-09-15T07:25:00+00:00
ces-main,183651.32,2025-09-15T07:25:30+00:00
ces-main,158635.09,2025-09-15T07:26:00+00:00
ces-main,165691.55,2025-09-15T07:26:30+00:00
ces-main,166723.90,2025-09-15T07:27:00+00:00
ces-main,169973.71,2025-09-15T07:27:30+00:00
ces-main,165484.64,2025-09-15T07:28:00+00:00
ces-main,159428.17,2025-09-15T07:28:30+00:00
ces-main,149621.03,2025-09-15T07:29:00+00:00
ces-main,163063.67,2025-09-15T07:29:30+00:00
ces-main,181650.38,2025-09-15T07:30:00+00:00
ces-main,170979.09,2025-09-15T07:30:30+00:00
ces-main,159359.70,2025-09-15T07:31:00+00:00
ces-main,163520.14,2025-09-15T07:31:30+00:00
ces-main,171492.88,2025-09-15T07:32:00+00:00
ces-main,178755.95,2025-09-15T07:32:30+00:00
ces-main,171766.60,2025-09-15T07:33:00+00:00
ces-main,163121.94,2025-09-15T07:33:30+00:00
ces-main,179433.23,2025-09-15T07:34:00+00:00
ces-main,299901.47,2025-09-15T07:34:30+00:00
ces-main,308888.19,2025-09-15T07:35:00+00:00
ces-main,281712.78,2025-09-15T07:35:30+00:00
ces-main,166732.02,2025-09-15T07:36:00+00:00
ces-main,170036.52,2025-09-15T07:36:30+00:00
ces-main,167819.17,2025-09-15T07:37:00+00:00
ces-main,162352.73,2025-09-15T07:37:30+00:00
ces-main,162960.82,2025-09-15T07:38:00+00:00
ces-main,163374.65,2025-09-15T07:38:30+00:00
ces-main,174540.98,2025-09-15T07:39:00+00:00
ces-main,178938.03,2025-09-15T07:39:30+00:00
ces-main,186108.08,2025-09-15T07:40:00+00:00
ces-main,187659.90,2025-09-15T07:40:30+00:00
ces-main,176047.85,2025-09-15T07:41:00+00:00
ces-main,176676.07,2025-09-15T07:41:30+00:00
ces-main,165384.26,2025-09-15T07:42:00+00:00
ces-main,163665.68,2025-09-15T07:42:30+00:00
ces-main,164607.69,2025-09-15T07:43:00+00:00
ces-main,166431.94,2025-09-15T07:43:30+00:00
ces-main,167204.43,2025-09-15T07:44:00+00:00
ces-main,169607.49,2025-09-15T07:44:30+00:00
ces-main,164919.64,2025-09-15T07:45:00+00:00
ces-main,185210.84,2025-09-15T07:45:30+00:00
ces-main,181359.17,2025-09-15T07:46:00+00:00
ces-main,174635.94,2025-09-15T07:46:30+00:00
ces-main,176013.21,2025-09-15T07:47:00+00:00
ces-main,171339.88,2025-09-15T07:47:30+00:00
ces-main,173546.16,2025-09-15T07:48:00+00:00
ces-main,179727.43,2025-09-15T07:48:30+00:00
ces-main,167261.70,2025-09-15T07:49:00+00:00
ces-main,162767.92,2025-09-15T07:49:30+00:00
ces-main,166139.72,2025-09-15T07:50:00+00:00
ces-main,171797.54,2025-09-15T07:50:30+00:00
ces-main,175671.89,2025-09-15T07:51:00+00:00
ces-main,180214.42,2025-09-15T07:51:30+00:00
ces-main,182340.74,2025-09-15T07:52:00+00:00
ces-main,170244.51,2025-09-15T07:52:30+00:00
ces-main,168090.00,2025-09-15T07:53:00+00:00
ces-main,167298.79,2025-09-15T07:53:30+00:00
ces-main,163579.12,2025-09-15T07:54:00+00:00
ces-main,168168.40,2025-09-15T07:54:30+00:00
ces-main,181493.92,2025-09-15T07:55:00+00:00
ces-main,183282.35,2025-09-15T07:55:30+00:00
ces-main,192358.53,2025-09-15T07:56:00+00:00
ces-main,174374.79,2025-09-15T07:56:30+00:00
ces-main,158370.03,2025-09-15T07:57:00+00:00
ces-main,162290.45,2025-09-15T07:57:30+00:00
ces-main,162037.71,2025-09-15T07:58:00+00:00
ces-main,172938.83,2025-09-15T07:58:30+00:00
ces-main,176882.53,2025-09-15T07:59:00+00:00
ces-main,167879.78,2025-09-15T07:59:30+00:00
ces-main,170522.90,2025-09-15T08:00:00+00:00
ces-main,170018.82,2025-09-15T08:00:30+00:00
ces-main,855890.96,2025-09-15T08:01:00+00:00
ces-main,932315.87,2025-09-15T08:01:30+00:00
ces-main,919951.87,2025-09-15T08:02:00+00:00
ces-main,910505.02,2025-09-15T08:02:30+00:00
ces-main,178001.85,2025-09-15T08:03:00+00:00
ces-main,169420.18,2025-09-15T08:03:30+00:00
ces-main,175721.30,2025-09-15T08:04:00+00:00
ces-main,166138.46,2025-09-15T08:04:30+00:00
ces-main,168226.63,2025-09-15T08:05:00+00:00
ces-main,159584.69,2025-09-15T08:05:30+00:00
ces-main,168920.21,2025-09-15T08:06:00+00:00
ces-main,167377.44,2025-09-15T08:06:30+00:00
ces-main,166562.70,2025-09-15T08:07:00+00:00
ces-main,175821.86,2025-09-15T08:07:30+00:00
ces-main,166136.35,2025-09-15T08:08:00+00:00
ces-main,176637.53,2025-09-15T08:08:30+00:00
ces-main,161759.91,2025-09-15T08:09:00+00:00
ces-main,177921.50,2025-09-15T08:09:30+00:00
ces-main,181386.13,2025-09-15T08:10:00+00:00
ces-main,174215.24,2025-09-15T08:10:30+00:00
ces-main,181153.01,2025-09-15T08:11:00+00:00
ces-main,174024.04,2025-09-15T08:11:30+00:00
ces-main,158338.34,2025-09-15T08:12:00+00:00
ces-main,162784.11,2025-09-15T08:12:30+00:00
